object size_keys(kB) size_values(kB) total(kB) nr_keys nr_values
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.93 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.91 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.40 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.127 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.20 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.5 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.110 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.119 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.39 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.83 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.123 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.33 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.236994.1.23 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.107 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.119 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.50 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.70 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.18 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.1.38 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.38 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.26 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.8 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.57 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.120 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.39 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.1.97 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.48 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.26 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.4.79 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.1.100 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.18 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.6 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.6 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.1.110 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.1.75 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.74 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.20 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.84 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.101 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.48 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.114 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.5 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.63 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.114 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.26 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.53 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.63 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.1.121 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.103 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.113 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.81 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.4.81 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.67 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.80 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.56 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.1.104 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.4.108 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.34 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.89 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.103 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.111 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.104 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.77 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.5 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.67 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6502332.1.16 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.80 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6502332.1.4 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.9 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.33 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.67 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.12 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.65 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.53 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.32 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.91 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.80 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.123 0 0 0 0 0
